slug,name,url
"autumnchen","Autumn's website","https://autumnchen.neocities.org/"
"lapinlunaire","Lapin Lunaire Games","https://lapinlunaire-games.neocities.org/"
"manonamora","manonamora's corner","https://manonamora.neocities.org/"
"sophiadeaugustine","Sophia de Augustine","https://sophiadeaugustine.neocities.org/"
"alt","alt.red","http://alt.red/"
"bridge","this place; no place of honor","https://30x30.neocities.org/"
"sweetfish","ayu's webhouse","https://sweetfish.site/"
"vermis","mormoroi's site","https://mormoroi.com/"
"tabitha","Tabitha's Itch Page","https://alyshkalia.itch.io/"
"kadw","KADW","https://kadw.neocities.org/"
"streetfighterxrockman","Noah's Corner","https://noah-si.itch.io/"
